$$12480001$$|124497|486188|1,316|$$19270101$$|$$Molukkenstraat 72 (Y = boven de bovenkant rollaag).$$|POINT (124497.0 486188.0)
$$12489003$$|124405|485834|,9202|$$19990601$$|$$Batjanstraat 1 gevel Ambonplein$$|POINT (124405.0 485834.0)
$$12489016$$|124607|485799|,8037|$$20020308$$|$$Molukkenstraat 493/545 in de Sumatrastraat$$|POINT (124607.0 485799.0)
$$12489005$$|124858|485853|,8801|$$19990601$$|$$Sumatrastraat 291/307 hoek Kramatweg$$|POINT (124858.0 485853.0)
$$12489008$$|124749|486092|1,4371|$$19990601$$|$$Insulindeweg 684/714$$|POINT (124749.0 486092.0)
$$12689001$$|118614|484822|,9579|$$19990601$$|$$Schinkelkade 69 in de Veerstraat(naast no 92)$$|POINT (118614.0 484822.0)
$$12580001$$|118505|484817|1,0425|$$19270101$$|$$Sloterkade 168 (rechter hoekpilaster hoge gedeelte; x = hoek van pilaster)$$|POINT (118505.0 484817.0)
$$12689000$$|118672|485223|,6327|$$20000601$$|$$Eerste Schinkelstraat 35 (achter klimop)$$|POINT (118672.0 485223.0)
$$12489000$$|124592|485804|,9387|$$19990601$$|$$Molukkenstraat 493/545$$|POINT (124592.0 485804.0)
$$12489004$$|124440|485915|,8316|$$19990601$$|$$Obiplein 115 (Achtergevel naast hek)$$|POINT (124440.0 485915.0)
$$12489009$$|124644|486069|1,6604|$$19990601$$|$$Insulindeweg 540/552$$|POINT (124644.0 486069.0)
$$12888003$$|121289|484961|,4592|$$20000621$$|$$Ondergronds merk Rustenburgerstraat t/o No.369/371 (sondeerstaaf Zie F 342)$$|POINT (121289.0 484961.0)
$$12889013$$|121082|485038|1,5156|$$20000601$$|$$Dusartstraat 17A-T  (rechts naast deur onder deurbel$$|POINT (121082.0 485038.0)
$$12888001$$|121250|485268|,4028|$$20000621$$|$$Eerste Jan Steenstraat t/o No.109 (sondeerstaaf Zie F 342)$$|POINT (121250.0 485268.0)
$$12888002$$|121287|485133|,4321|$$20000621$$|$$Ondergronds merk Ceintuurbaan t/o No.115/117 (sondeerstaaf Zie F 342)$$|POINT (121287.0 485133.0)
$$12989010$$|121517|485026|1,5399|$$20000601$$|$$Rustenburgerstraat 290$$|POINT (121517.0 485026.0)
$$12889014$$|121287|485331|1,5716|$$20000601$$|$$Govert Flinckstraat 158$$|POINT (121287.0 485331.0)
$$12889009$$|120810|484879|1,5528|$$19990601$$|$$Hobbemakade 105/106$$|POINT (120810.0 484879.0)
$$12889012$$|121097|485164|,951|$$20000601$$|$$Eerste Jan van der Heijdenstraat 97A-E$$|POINT (121097.0 485164.0)
$$12889016$$|121342|485278|,8161|$$20000601$$|$$Eerste Jan Steenstraat 134A-B$$|POINT (121342.0 485278.0)
$$12888004$$|121303|484848|,7353|$$20000601$$|$$Ondergronds merk Lutmastraat t/o No.14A-E (sondeerstaaf Zie F 342)$$|POINT (121303.0 484848.0)
$$13689001$$|121232|484681|1,2318|$$19990601$$|$$Ferdinand Bolstraat 323 naast poort$$|POINT (121232.0 484681.0)
$$12989005$$|121785|485187|,9869|$$19990601$$|$$Van Ostadestraat 245 in de Tweede Sweelinckstraat$$|POINT (121785.0 485187.0)
$$12989013$$|121885|484952|,9056|$$20011120$$|$$Lutmastraat 159/161$$|POINT (121885.0 484952.0)
$$12989000$$|122356|485348|1,1939|$$19940727$$|$$Oetgensstraat 1 in de Weesperzijde$$|POINT (122356.0 485348.0)
$$13089004$$|122513|485361|1,3491|$$19940727$$|$$Oetgensdwarsstraat 70 (zijgevel garage)$$|POINT (122513.0 485361.0)
$$12989009$$|121683|485145|1,1941|$$20000601$$|$$Van Ostadestraat 211$$|POINT (121683.0 485145.0)
$$12989012$$|122019|485187|1,5575|$$20000601$$|$$Kuiperstraat 89 A-D$$|POINT (122019.0 485187.0)
$$12989006$$|122109|484863|,8313|$$19990601$$|$$Carillonstraat 81/99 hoek Jan Lievensstraat$$|POINT (122109.0 484863.0)
$$13688001$$|121249|484614|1,5027|$$20000621$$|$$Ondergronds merk Jozef Israelkade (sondeerstaaf Zie F 342)$$|POINT (121249.0 484614.0)
$$13189004$$|123562|485190|-2,9362|$$19990601$$|$$Willem Beukelstraat 1A-M hoek Ringdijk(in betonnen kolom)$$|POINT (123562.0 485190.0)
$$13189005$$|123693|485063|-3,3095|$$19990601$$|$$Willem Beukelsstraat 51/151 in de Zacharias Jansestraat(x = uit regenpijp)$$|POINT (123693.0 485063.0)
$$13788000$$|122005|484287|,4847|$$19870101$$|$$Ondergronds merk 20-40 gordel Rooseveltlaan (sondeerstaaf Zie SL 3832) (nieuwe put geplaatst nov. 2007)$$|POINT (122005.0 484287.0)
$$13688000$$|121170|484131|,6011|$$19870101$$|$$Ondergronds merk 20-40 gordel Europaplein (sondeerstaaf Zie SL 3832) verstoord! 2007 jvb$$|POINT (121170.0 484131.0)
$$13580003$$|120407|484723|1,8018|$$19270101$$|$$Corellistraat 1(Eerste Montessorieschool voor G.L.O.) (x=stenen dag van de portiek;y=onderk. gemetselde rollaag)$$|POINT (120407.0 484723.0)
$$13589000$$|120306|484673|1,2522|$$19990601$$|$$Gerrit van der Veenstraat 57 hoek Beethovenstraat(links van de ingang Albert Hein)$$|POINT (120306.0 484673.0)
$$13588000$$|120210|484420|,3182|$$19870101$$|$$Ondergronds merk 20-40 gordel Beethovenstraat/Stadionweg (sondeerstaaf Zie SL 3832)$$|POINT (120210.0 484420.0)
$$13789007$$|122347|484636|,9879|$$19990601$$|$$Borssenburgplein 51 - 67$$|POINT (122347.0 484636.0)
$$13789000$$|122058|484437|,8596|$$19990601$$|$$Victorieplein 26A/34L$$|POINT (122058.0 484437.0)
$$14589000$$|121814|483781|,9575|$$19990601$$|$$President Kennedyplantsoen 1 in kolom naast giromaat (stadsdeelkantoor)$$|POINT (121814.0 483781.0)
$$13689002$$|120949|484230|,7468|$$19990601$$|$$Krammerstraat 33A-J in de Volkerakstraat$$|POINT (120949.0 484230.0)
$$13689004$$|121042|484189|1,305|$$20010601$$|$$Wielingenstraat 24A - 26R in de Eendrachtstraat$$|POINT (121042.0 484189.0)
$$13689000$$|121041|484182|1,3732|$$19990601$$|$$Wielingenstraat 24A - 26R hoek Eendrachtstraat$$|POINT (121041.0 484182.0)
$$13789003$$|121825|484506|,8401|$$19990601$$|$$IJselstraat 34A-N in de Waalstraat$$|POINT (121825.0 484506.0)
$$13789001$$|122025|484430|,8478|$$19990601$$|$$Victorieplein 26A/34L$$|POINT (122025.0 484430.0)
$$13889000$$|122643|484174|1,1488|$$20000601$$|$$Amsteldijk 162 (naast poort)$$|POINT (122643.0 484174.0)
$$13880007$$|122884|484718|,6934|$$19911001$$|$$ZO-vleugel van het spoorviadukt over de Ringdijk nabij het Pauwenpad(onder viaduct)$$|POINT (122884.0 484718.0)
$$13080006$$|122754|484995|1,2679|$$19720101$$|$$NW-vleugel van het spoorviadukt over de Wibautstraat (y = boven scheiding tussen beton en steen)$$|POINT (122754.0 484995.0)
$$13880003$$|123140|484030|1,1376|$$19270101$$|$$Weesperzijde 243 (x = stenen dag rechter raam; y = boven plint)$$|POINT (123140.0 484030.0)
$$13088000$$|122914|484957|,4896|$$19870101$$|$$Ondergronds merk 20-40 gordel Afrikanerplein hoek Hofmeyrstraat (sondeerstaaf Zie SL 3832)$$|POINT (122914.0 484957.0)
$$13088001$$|123349|485347|,4918|$$19850101$$|$$Ondergronds merk 20-40 gordel Pretoriusstraat t/o No.58 (sondeerstaaf Zie SL 3832)$$|POINT (123349.0 485347.0)
$$12989014$$|121906|485158|1,1191|$$20010822$$|$$Kuipersstaat 110 (!!Voorlopig deformatiepunt!!)$$|POINT (121906.0 485158.0)
$$13488000$$|119040|484310|,5731|$$19870101$$|$$Ondergronds merk 20-40 gordel Stadionweg (sondeerstaaf Zie SL 3832)  pen hersteld op 30 sept. 2009$$|POINT (119040.0 484310.0)
$$13588001$$|119859|484450|,4694|$$19870101$$|$$Ondergronds merk 20-40 gordel Minervaplein/ Michel Angelostraat (sondeerstaaf Zie SL 3832)$$|POINT (119859.0 484450.0)
$$12689002$$|119380|485126|1,5283|$$20000601$$|$$Valeriusplein 9 hoek Valeriusstraat$$|POINT (119380.0 485126.0)
$$12689003$$|119435|485030|1,4878|$$20000601$$|$$De Lairessestraat 180 y=rollaag$$|POINT (119435.0 485030.0)
$$12789002$$|119755|484826|1,2161|$$19990601$$|$$Apollolaan 171 in de Raphaelstraat(GEB Ruimte)$$|POINT (119755.0 484826.0)
$$13580001$$|119599|484144|2,1636|$$19520101$$|$$W-vleugel van N-landhoofd v/d brug over het Zuider Amstel kanaal voor de Parnassusweg (y = boven bovenkant walmuur)$$|POINT (119599.0 484144.0)
$$13580004$$|120078|484672|1,4488|$$19520101$$|$$Gerrit van der Veenstraat 99 (Vooruitspringend gedeelte "Meisjesschool" ; y = onderkant gemetselde rollaag)$$|POINT (120078.0 484672.0)
$$13580002$$|120221|484219|2,4287|$$19420101$$|$$Gebogen O-vleugel van het N-landhoofd van de brug over het Zuider Amstelkanaal voor de Beethovenstraat (y=bovenk.muur)$$|POINT (120221.0 484219.0)
$$13480002$$|119404|484359|1,0901|$$19520101$$|$$Stadionweg 145 (x = links van de dag van de portiek;y = on- der de onderkant van de hardstenen plaat naast het raam)$$|POINT (119404.0 484359.0)
$$14280001$$|118910|483960|2,4059|$$19520101$$|$$O-vleugel van het N-landhoofd van de brug (413) in de Am- stelveenseweg over her Zuider Amstelkanaal (Y=bovenk.vl.).$$|POINT (118910.0 483960.0)
$$13189002$$|123425|484995|-3,4722|$$19990601$$|$$Bessemerstraat 60/70 (naast ingang)$$|POINT (123425.0 484995.0)
$$13189001$$|123409|485085|-3,0807|$$19990601$$|$$Ringdijk 44 (voorgevel rechts)$$|POINT (123409.0 485085.0)
$$13189000$$|123437|485106|-3,0905|$$19990601$$|$$Ringdijk 44 (voorgevel links)$$|POINT (123437.0 485106.0)
$$13189007$$|123380|484978|-3,4138|$$20011120$$|$$Nobelweg 21A-G (naast no.19 tussen twee regenpijpen)$$|POINT (123380.0 484978.0)
$$12989011$$|121893|485194|1,3035|$$20000601$$|$$Van Ostadestraat 336$$|POINT (121893.0 485194.0)
$$12980001$$|122023|485265|1,6336|$$19270101$$|$$Van Ostadestraat 341 (y = boven de plint)$$|POINT (122023.0 485265.0)
$$12889007$$|120946|485181|1,3105|$$19990601$$|$$Eerste Jan Steenstraat 2A-H$$|POINT (120946.0 485181.0)
$$12889006$$|121095|485274|1,1193|$$19990601$$|$$Govert Flinckstraat 90A/92D$$|POINT (121095.0 485274.0)
$$12680002$$|119080|484910|1,5864|$$19260101$$|$$Des Presstraat 3("Valeriusschool"; y = onderkant van de voeg welke overeenkomt met de onderkant van raamdorpel)$$|POINT (119080.0 484910.0)
$$13480001$$|118956|484318|1,6034|$$19520101$$|$$Stadionweg 334 hoek Amstelveenseweg$$|POINT (118956.0 484318.0)
$$13480003$$|118940|484650|1,2014|$$19780101$$|$$Willaertstraat 3 (uitbouw)$$|POINT (118940.0 484650.0)
$$13089001$$|122837|485390|1,4679|$$19940318$$|$$Iepenweg 60$$|POINT (122837.0 485390.0)
$$12789003$$|120266|485122|,8103|$$20000601$$|$$Jacob Obrechtstraat 92 hoek Heinzestraat$$|POINT (120266.0 485122.0)
$$12889001$$|121431|485494|1,3102|$$19990601$$|$$Gerard Doustraat 127/129$$|POINT (121431.0 485494.0)
$$12789000$$|120031|485397|,8881|$$19990601$$|$$Banstraat 5 (in kolom naast no.13)$$|POINT (120031.0 485397.0)
$$12989007$$|121701|485419|,5359|$$20000601$$|$$Tweede Jan Steenstraat 5/9$$|POINT (121701.0 485419.0)
$$13089006$$|122769|485479|1,5026|$$19961209$$|$$Iepenplein 40/56B in de Tweede Oosterparkstraat$$|POINT (122769.0 485479.0)
$$25189001$$|120003|488678|,9893|$$19921010$$|$$Joan Melchior Kemperstraat 57A-P hoek Fannius Scholtenstraat(def. meting IJ 172)$$|POINT (120003.0 488678.0)
$$25989011$$|120135|488470|1,0627|$$19921010$$|$$Van Beuningenstraat 106A/110A hoek Fannius Scholtenstraat(def. meting IJ 172)$$|POINT (120135.0 488470.0)
$$12380004$$|124159|486183|1,4409|$$19270101$$|$$Eerste Atjehstraat 59 (y = boven bovenkant rollaag)$$|POINT (124159.0 486183.0)
$$11980001$$|120010|486070|1,3321|$$19260101$$|$$Westgevel van de "Vondelkerk" Vondelstraat 120 (Y = buiten- bovenkant van de afgeschuinde plint).$$|POINT (120010.0 486070.0)
$$25989017$$|120010|488339|,8579|$$19990601$$|$$Van Beuningenstraat 163A/165F$$|POINT (120010.0 488339.0)
$$13889001$$|122651|484132|,9363|$$19990601$$|$$Amsteldijk 166 in ovale kolom (Riverstate)$$|POINT (122651.0 484132.0)
$$13789009$$|122258|484201|1,3151|$$20000601$$|$$Vechtstraat 88/90 (school rechts)$$|POINT (122258.0 484201.0)
$$12888000$$|120836|484879|,9329|$$19990601$$|$$sondeerstaaf t.o. Hobbemakade 105/106 (inbussleutel 8mm)$$|POINT (120836.0 484879.0)
$$14689000$$|122678|483923|,7963|$$19990601$$|$$President Kennedylaan 1 in kolom wegzijde$$|POINT (122678.0 483923.0)
$$13889002$$|122437|484152|,8279|$$19990601$$|$$Trompenburgstraat 10B-S$$|POINT (122437.0 484152.0)
$$14580005$$|122034|483675|,8339|$$19270101$$|$$President Kennedylaan 7 meest W-beer aan de N-gevel van het "Mirandebad"$$|POINT (122034.0 483675.0)
$$13789008$$|122267|484162|1,3255|$$20000601$$|$$Vechtstraat 88/90 (school links)$$|POINT (122267.0 484162.0)
$$25180004$$|120150|488740|1,0321|$$19911001$$|$$Haarlemmerweg 87/89 hoek Van Limburg Stirumstraat$$|POINT (120150.0 488740.0)
$$25189009$$|120080|488679|,7768|$$19990601$$|$$Joan Melchior Kemperstraat 41A-D$$|POINT (120080.0 488679.0)
$$25189010$$|119929|488691|1,5853|$$19990601$$|$$Joan Melchior Kemperstraat 106A-E$$|POINT (119929.0 488691.0)
$$25989016$$|120120|488484|,9437|$$19990601$$|$$Fannius Scholtenstraat 87/89$$|POINT (120120.0 488484.0)
$$25189003$$|120176|488565|,8878|$$19921010$$|$$Van Limburg Stirumstraat 36 (in noordelijke pilaar; def. meting IJ 172)$$|POINT (120176.0 488565.0)
$$24980003$$|118044|488640|6,5271|$$19800101$$|$$ZW-vleugel van het Z-landhoofd van het viadukt over de Haarlemmerweg in rijksweg 10 bij hmp 26.3.$$|POINT (118044.0 488640.0)
$$25080009$$|118885|488694|,9014|$$19911001$$|$$Haarlemmerweg 495 naast Bos en Lommerweg 1$$|POINT (118885.0 488694.0)
$$24880005$$|124409|489601|,4332|$$19720101$$|$$Dirkshornplantsoen 1 gevel Nieuwe Purmerweg (y = boven betonrand)$$|POINT (124409.0 489601.0)
$$24889001$$|124401|489571|,8901|$$20070812$$|$$Nieuwe Purmerweg 164 t/m 172 naast regenpijp$$|POINT (124401.0 489571.0)
$$24889000$$|124608|489454|,6298|$$20070812$$|$$Purmerweg 46 in de schoorsteen$$|POINT (124608.0 489454.0)
$$25180003$$|119671|488618|2,0283|$$19260101$$|$$Watertorenplein 4B Machinegbouw "Gemeentelijke Waterleiding"(x= pilaar links W-ingang;y= boven plint)$$|POINT (119671.0 488618.0)
$$25189000$$|120035|488576|,9984|$$19921010$$|$$Fannius Scholtenstraat 43A (def. meting IJ 172)$$|POINT (120035.0 488576.0)
$$25280006$$|120690|488700|3,8996|$$19520101$$|$$Haarlemmerplein 50 "De Haarlemmerpoort"$$|POINT (120690.0 488700.0)
$$25289001$$|120524|488634|1,5186|$$19990601$$|$$De Wittenstraat 12 (ref.punt def.meting IJ 172)$$|POINT (120524.0 488634.0)
$$25189007$$|119994|488591|1,4378|$$19990601$$|$$Cliffordstraat 2A-N (schroefpunt)$$|POINT (119994.0 488591.0)
$$25989019$$|120472|488108|2,0772|$$19990601$$|$$Marnixstraat 159A/161D$$|POINT (120472.0 488108.0)
$$25989018$$|120477|488120|1,9882|$$19990601$$|$$Marnixstraat 159A/161D$$|POINT (120477.0 488120.0)
$$25289021$$|120645|488545|1,8487|$$19990601$$|$$Marnixstraat 1$$|POINT (120645.0 488545.0)
$$25289022$$|120628|488503|1,2698|$$19990601$$|$$Marnixstraat 17A-D$$|POINT (120628.0 488503.0)
$$25289019$$|120879|488509|2,9005|$$19990601$$|$$Haarlemmerdijk 124  (hoek Buiten Dommerstraat) (rechter bouwmuur)$$|POINT (120879.0 488509.0)
$$26089025$$|120974|488463|2,6165|$$20000601$$|$$Haarlemmer Houttuinen 437 (zijgevel)$$|POINT (120974.0 488463.0)
$$26089017$$|121315|488190|3,3189|$$19990601$$|$$Haarlemmer Houttuinen 11$$|POINT (121315.0 488190.0)
$$26089006$$|121379|487981|3,1195|$$19990601$$|$$Singel 18 (Mogelijk punt 26081094)$$|POINT (121379.0 487981.0)
