$$AK06$$|91|120979|485534|POINT (120979.0 485544.0)
$$AK07$$|92|121105|485521|POINT (121105.0 485531.0)
$$AK08$$|93|120978|485469|POINT (120978.0 485479.0)
$$AK09$$|94|121098|485457|POINT (121098.0 485467.0)
$$AK11$$|95|121082|485401|POINT (121082.0 485411.0)
$$AE44$$|96|119051|485709|POINT (119051.0 485719.0)
$$AE45$$|97|119090|485725|POINT (119090.0 485735.0)
$$AK12$$|98|120973|485344|POINT (120973.0 485354.0)
$$AK13$$|99|121077|485351|POINT (121077.0 485361.0)
$$AK14$$|100|121033|485289|POINT (121033.0 485299.0)
$$AE46$$|101|119134|485742|POINT (119134.0 485752.0)
$$AE47$$|102|119176|485780|POINT (119176.0 485790.0)
$$AE48$$|103|119320|485816|POINT (119320.0 485826.0)
$$AK18$$|104|121126|485129|POINT (121126.0 485139.0)
$$AK20$$|105|121237|485508|POINT (121237.0 485518.0)
$$AE50$$|106|119721|485959|POINT (119721.0 485969.0)
$$AE52$$|107|119885|486054|POINT (119885.0 486064.0)
$$AE53$$|108|120092|486140|POINT (120092.0 486150.0)
$$AK23$$|109|121252|485348|POINT (121252.0 485358.0)
$$AK24$$|110|121267|485299|POINT (121267.0 485309.0)
$$AE57$$|111|120287|486224|POINT (120287.0 486234.0)
$$AC08$$|112|120024|487967|POINT (120024.0 487977.0)
$$AC12$$|113|119987|487836|POINT (119987.0 487846.0)
$$AD58$$|114|119906|486641|POINT (119906.0 486651.0)
$$AD59$$|115|119941|486555|POINT (119941.0 486565.0)
$$AD60$$|116|119988|486678|POINT (119988.0 486688.0)
$$AD61$$|117|120023|486593|POINT (120023.0 486603.0)
$$AD62$$|118|120093|486725|POINT (120093.0 486735.0)
$$AB01$$|119|119828|488702|POINT (119828.0 488712.0)
$$AB02$$|120|119953|488712|POINT (119953.0 488722.0)
$$AB03$$|121|120072|488714|POINT (120072.0 488724.0)
$$AB06$$|122|119844|488636|POINT (119844.0 488646.0)
$$AC14$$|123|120112|487778|POINT (120112.0 487788.0)
$$AC15$$|124|120177|487752|POINT (120177.0 487762.0)
$$AC16$$|125|119912|487663|POINT (119912.0 487673.0)
$$AD63$$|126|120128|486641|POINT (120128.0 486651.0)
$$AD64$$|127|120177|486763|POINT (120177.0 486773.0)
$$AD65$$|128|120202|486675|POINT (120202.0 486685.0)
$$AB07$$|129|119956|488657|POINT (119956.0 488667.0)
$$AB08$$|130|120073|488660|POINT (120073.0 488670.0)
$$AB10$$|131|119860|488576|POINT (119860.0 488586.0)
$$AB11$$|132|119962|488602|POINT (119962.0 488612.0)
$$AB13$$|133|119981|488550|POINT (119981.0 488560.0)
$$AB14$$|134|120065|488595|POINT (120065.0 488605.0)
$$AC17$$|135|119965|487647|POINT (119965.0 487657.0)
$$AC18$$|136|120047|487613|POINT (120047.0 487623.0)
$$AC19$$|137|120114|487586|POINT (120114.0 487596.0)
$$AB15$$|138|119887|488467|POINT (119887.0 488477.0)
$$AB16$$|139|120009|488501|POINT (120009.0 488511.0)
$$AB17$$|140|120116|488557|POINT (120116.0 488567.0)
$$AB20$$|141|119708|488342|POINT (119708.0 488352.0)
$$AB21$$|142|119726|488258|POINT (119726.0 488268.0)
$$AC23$$|143|119993|487473|POINT (119993.0 487483.0)
$$AB23$$|144|119900|488414|POINT (119900.0 488424.0)
$$AB24$$|145|120039|488452|POINT (120039.0 488462.0)
$$AB28$$|146|119916|488356|POINT (119916.0 488366.0)
$$AB29$$|147|120023|488390|POINT (120023.0 488400.0)
$$AB30$$|148|119927|488297|POINT (119927.0 488307.0)
$$AC24$$|149|120024|487423|POINT (120024.0 487433.0)
$$AB31$$|150|120074|488360|POINT (120074.0 488370.0)
$$AB32$$|151|120195|488480|POINT (120195.0 488490.0)
$$AB38$$|152|119948|488170|POINT (119948.0 488180.0)
$$AD02$$|153|119585|487132|POINT (119585.0 487142.0)
$$AD04$$|154|119889|487236|POINT (119889.0 487246.0)
$$AD05$$|155|120017|487276|POINT (120017.0 487286.0)
$$AD06$$|156|119736|487150|POINT (119736.0 487160.0)
$$AD07$$|157|119482|486992|POINT (119482.0 487002.0)
$$AD08$$|158|119451|486888|POINT (119451.0 486898.0)
$$AD11$$|159|119586|486942|POINT (119586.0 486952.0)
$$AD12$$|160|119635|487001|POINT (119635.0 487011.0)
$$AD13$$|161|119672|486899|POINT (119672.0 486909.0)
$$AD14$$|162|119744|487075|POINT (119744.0 487085.0)
$$AD15$$|163|119769|486979|POINT (119769.0 486989.0)
$$AD16$$|164|119857|487035|POINT (119857.0 487045.0)
$$AD17$$|165|119963|487129|POINT (119963.0 487139.0)
$$AD18$$|166|120035|487155|POINT (120035.0 487165.0)
$$AD19$$|167|119975|487021|POINT (119975.0 487031.0)
$$AD20$$|168|120056|487051|POINT (120056.0 487061.0)
$$AD23$$|169|119541|486867|POINT (119541.0 486877.0)
$$AD27$$|170|119471|486723|POINT (119471.0 486733.0)
$$AD28$$|171|119561|486783|POINT (119561.0 486793.0)
$$AD31$$|172|119490|486653|POINT (119490.0 486663.0)
