$$13081315$$|$$$$|122518|485109|1,6489|21,5000000000001|$$19971219$$|3||$$N$$|$$M$$|$$Weesperzijde 85$$|$$hoek G. van Aemstelstr$$|1,80693069306931|$$A$$|$$AM17 $$|3|POINT (122518.0 485109.0)
$$13081316$$|$$$$|122502|485131|1,4863|10,8999999999999|$$19971219$$|3||$$N$$|$$M$$|$$Weesperzijde 81$$|$$gem. bwmr Weesperzijde 80$$|,916071839742106|$$A$$|$$AM17 $$|3|POINT (122502.0 485131.0)
$$13081317$$|$$$$|122671|485080|1,1604||$$19980109$$|4||$$N$$|$$M$$|$$Wibautstraat 194$$|$$rechter bouwmuur$$||$$V$$|$$AM19 $$|4|POINT (122671.0 485080.0)
$$13081318$$|$$$$|122674|485070|1,3428||$$19980109$$|2||$$N$$|$$M$$|$$Graaf Florisstraat 31$$|$$hoek Wibautstraat$$||$$V$$|$$AM19 $$|2|POINT (122674.0 485070.0)
$$13081319$$|$$$$|122658|485061|1,4484|10,8999999999999|$$19980109$$|2||$$N$$|$$M$$|$$Graaf Florisstraat 23$$|$$gem. bouwmuur nr 25$$|,920522906062001|$$A$$|$$AM19 $$|2|POINT (122658.0 485061.0)
$$12281377$$|$$$$|122788,4|486187,1|2,5239|,699999999999701|$$20100118$$|1||$$$$|$$A$$|$$Sarphatistraat 181$$|$$$$|,443576388888699|$$A$$|$$YL22 $$|1|POINT (122788.4 486187.1)
$$11581004$$|$$$$|124074|486279|1,2719|12,4|$$19870504$$|3||$$$$|$$M$$|$$Javastraat 36$$|$$$$|2,70693779904306|$$A$$|$$AQ19 $$|2|POINT (124074.0 486279.0)
$$11581006$$|$$$$|124128|486286|1,4859|20,2|$$19870504$$|3||$$$$|$$M$$|$$Javastraat 56$$|$$$$|4,40968899521531|$$A$$|$$AQ19 $$|2|POINT (124128.0 486286.0)
$$11581007$$|$$$$|124160|486288|1,2199|114,7|$$19870504$$|3||$$$$|$$M$$|$$Javastraat 66$$|$$$$|4,38795723718688|$$A$$|$$AQ19 $$|2|POINT (124160.0 486288.0)
$$11581008$$|$$$$|124187|486288|1,4999|46,5|$$19870504$$|3||$$$$|$$M$$|$$Javastraat 76/78$$|$$$$|2,5904304029304|$$A$$|$$AQ19 $$|3|POINT (124187.0 486288.0)
$$11581009$$|$$$$|124209|486289|1,3389|41,6000000000001|$$19870504$$|3||$$$$|$$M$$|$$Javastraat 86$$|$$$$|2,31746031746032|$$A$$|$$AQ19 $$|3|POINT (124209.0 486289.0)
$$10381475$$|$$$$|119820|487030|1,0444|5,60000000000005|$$20000103$$|1||$$$$|$$E$$|$$Bilderdijkstraat 67$$|$$$$|,88908220965638|$$A$$|$$AD16 $$|1|POINT (119820.0 487030.0)
$$10381477$$|$$$$|119817|487096|1,2364|7,40000000000007|$$20000103$$|1||$$$$|$$E$$|$$Bilderdijkstraat 43$$|$$$$|1,17485863418879|$$A$$|$$AD16 $$|1|POINT (119817.0 487096.0)
$$10381479$$|$$$$|119854|487139|1,566|8,1|$$20000103$$|3||$$$$|$$E$$|$$De Clercqstraat 41$$|$$$$|1,28599391039582|$$A$$|$$AD16 $$|3|POINT (119854.0 487139.0)
$$10381480$$|$$$$|119885|487133|2,794|6,29999999999997|$$20000103$$|2||$$$$|$$E$$|$$Da Costakade 34$$|$$$$|1,00021748586341|$$A$$|$$AD16 $$|2|POINT (119885.0 487133.0)
$$10381481$$|$$$$|119882|487117|1,8919|10,5999999999999|$$20000103$$|2||$$$$|$$E$$|$$Da Costakade 40$$|$$$$|1,68290561113527|$$A$$|$$AD16 $$|2|POINT (119882.0 487117.0)
